epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.788,1.46803,6.88563,2.23735,0.42119,0.46162,0.4124,0.33249,1.4837,4.39292,2.21694,0.000255733,0.000255733,0.000255733
2,414.643,1.61081,3.90648,2.27261,0.62934,0.61529,0.64748,0.52894,1.40976,2.43504,2.14435,0.000495168,0.000495168,0.000495168
3,610.947,1.63299,2.97811,2.2673,0.68118,0.60761,0.67746,0.55585,1.38332,2.33577,2.14499,0.000717685,0.000717685,0.000717685
4,804.357,1.63391,2.65591,2.26601,0.70637,0.64338,0.71723,0.58875,1.35328,2.31862,2.09406,0.000692869,0.000692869,0.000692869
5,999.46,1.54527,2.33262,2.20827,0.81297,0.70209,0.80701,0.68937,1.20125,1.66675,1.98573,0.000667492,0.000667492,0.000667492
6,1192.7,1.48454,2.10212,2.16811,0.85243,0.75131,0.84747,0.73296,1.14243,1.45591,1.96362,0.000642115,0.000642115,0.000642115
7,1384.6,1.43191,1.96604,2.13724,0.83962,0.78303,0.87218,0.74549,1.17109,1.33087,1.97239,0.000616738,0.000616738,0.000616738
8,1577.05,1.40068,1.86126,2.12934,0.85624,0.7739,0.87043,0.75025,1.12229,1.28985,1.94074,0.000591361,0.000591361,0.000591361
9,1768.51,1.36622,1.78367,2.11272,0.86208,0.77236,0.88456,0.7742,1.08797,1.28283,1.91177,0.000565984,0.000565984,0.000565984
10,1959.8,1.32818,1.66091,2.08273,0.89024,0.81315,0.90486,0.79361,1.0608,1.1306,1.88988,0.000540607,0.000540607,0.000540607
11,2152.12,1.30159,1.59704,2.07177,0.87331,0.85339,0.91402,0.80971,1.01097,1.04093,1.8551,0.00051523,0.00051523,0.00051523
12,2343.52,1.277,1.53168,2.0573,0.87702,0.82835,0.91441,0.80944,0.99466,1.03523,1.85693,0.000489853,0.000489853,0.000489853
13,2537.24,1.24742,1.44769,2.03642,0.90948,0.83454,0.92286,0.8207,0.98513,0.97366,1.84245,0.000464476,0.000464476,0.000464476
14,2730.72,1.22276,1.39695,2.02142,0.89934,0.87142,0.93486,0.83853,0.93943,0.88455,1.8122,0.000439099,0.000439099,0.000439099
15,2924.14,1.21124,1.36714,2.02121,0.91481,0.84972,0.93195,0.83306,0.95787,0.91542,1.82875,0.000413722,0.000413722,0.000413722
16,3115.87,1.19395,1.30729,2.01239,0.90802,0.87404,0.93921,0.84661,0.926,0.86479,1.80338,0.000388345,0.000388345,0.000388345
17,3309.15,1.16335,1.26921,1.99755,0.89879,0.8708,0.94058,0.84557,0.93174,0.85871,1.80729,0.000362968,0.000362968,0.000362968
18,3500.65,1.15117,1.20334,1.98973,0.90746,0.871,0.94476,0.85336,0.91433,0.84779,1.79278,0.000337591,0.000337591,0.000337591
19,3693.96,1.12419,1.16845,1.97375,0.92864,0.86498,0.94313,0.85307,0.9051,0.83979,1.79748,0.000312214,0.000312214,0.000312214
20,3887.52,1.11348,1.15634,1.97071,0.92554,0.86626,0.94278,0.85355,0.89105,0.81918,1.78958,0.000286837,0.000286837,0.000286837
21,4073.99,0.86872,0.66642,1.82934,0.91952,0.8626,0.94424,0.86149,0.88916,0.83274,1.78133,0.00026146,0.00026146,0.00026146
22,4257.55,0.83667,0.62153,1.804,0.92987,0.877,0.94795,0.85871,0.89693,0.80576,1.78673,0.000236083,0.000236083,0.000236083
23,4440.47,0.80731,0.57829,1.78351,0.9244,0.88428,0.94503,0.86102,0.8796,0.81708,1.77714,0.000210706,0.000210706,0.000210706
24,4625.39,0.79169,0.54413,1.78164,0.93651,0.87397,0.95034,0.86978,0.86452,0.78728,1.76821,0.000185329,0.000185329,0.000185329
25,4808.58,0.77196,0.51344,1.76368,0.93424,0.88387,0.95227,0.87061,0.86109,0.76058,1.76888,0.000159952,0.000159952,0.000159952
26,4993.27,0.74881,0.48348,1.75379,0.93886,0.88923,0.95015,0.86817,0.8666,0.77209,1.77074,0.000134575,0.000134575,0.000134575
27,5179.42,0.73264,0.46226,1.74256,0.93445,0.89698,0.95381,0.87426,0.86717,0.7654,1.77397,0.000109198,0.000109198,0.000109198
28,5363.22,0.71102,0.43775,1.73602,0.94179,0.89796,0.94972,0.87381,0.86027,0.77153,1.77204,8.3821e-05,8.3821e-05,8.3821e-05
29,5547.63,0.6975,0.41159,1.72634,0.94005,0.90633,0.9557,0.88101,0.83587,0.74355,1.75896,5.8444e-05,5.8444e-05,5.8444e-05
30,5732.36,0.68537,0.40215,1.72422,0.94078,0.90338,0.95555,0.88151,0.84124,0.75132,1.75672,3.3067e-05,3.3067e-05,3.3067e-05
